RXCUI,TenThuoc
23066,dihematoporphyrin ether
23088,dihydrocodeine
23161,aldioxa
23162,dihydroxyaluminum aminoacetate
23247,methylsulfonylmethane
23744,dyclonine
24192,enrofloxacin
24246,epigallocatechin gallate
24457,ethanolamine
24460,ethanolamine oleate
24522,ethyl linoleate
24591,ethynodiol
24605,etodolac
24698,fludarabine
24805,febantel
24812,felbamate
24897,ferric ammonium citrate
24898,ferric chloride
24902,prussian blue insoluble
24909,iron sucrose
24912,ferric subsulfate solution
24913,ferric sulfate
24941,ferrous fumarate
24942,ferrous gluconate
24947,ferrous sulfate
25025,finasteride
25033,cefixime
25037,cefdinir
25086,florfenicol
25120,flunisolide
25121,flunixin
25126,fluocinolone
25138,fluorescein
25255,formoterol
25357,follitropin beta
25480,gabapentin
25483,gadoteridol
25696,genistein
25789,glimepiride
25842,gluconolactone
26051,glycol salicylate
26143,glycyrrhizic acid
26225,ondansetron
26237,granisetron
26344,guar gum
26744,hepatitis B immune globulin
27084,homatropine
27100,omacetaxine mepesuccinate
27169,leflunomide
27221,hydrotalcite
27244,hydroxyethyl cellulose
27291,hydroxypropylcellulose
27334,hypromellose
27340,desflurane
27712,invert sugar
27723,iodinated glycerol
27729,iodixanol
27781,iopromide
27792,ioversol
27825,iron succinyl milk protein complex
27863,iso-sulfan blue
27946,isometheptene
27985,isopropyl myristate
28031,itraconazole
28068,oxaceprol
28395,lactitol
28439,lamotrigine
28486,lavender oil
28656,nafarelin
28863,lofexidine
28889,loratadine
29008,lycopene
29046,lisinopril
29151,magaldrate
29155,magnesium carbonate
29170,magnesium trisilicate
29209,malic acid
29256,mandelic acid
29261,manganese chloride
29268,manganese sulfate
29365,calcipotriene
29421,mecobalamin
29495,menatetrenone
29561,meropenem
29742,methyl anthranilate
29787,methyl salicylate
29897,methylmethacrylate
29899,methylnaltrexone
29900,methylnicotinate
29903,methylparaben
30009,miglitol
30125,modafinil
30131,moexipril
31005,N-acetyltyrosine
31435,valrubicin
31447,nabilone
31448,nabumetone
31476,naftifine
31479,nalmefene
31555,nebivolol
31563,nedocromil
31565,nefazodone
31805,nilutamide
31819,nitazoxanide
31914,tiagabine
31945,nonivamide
31994,norgestimate
32385,olsalazine
32592,oxaliplatin
32613,oxaprozin
32624,oxcarbazepine
32638,oxiconazole
32673,oxybenzone
32675,oxybutynin
32680,oxychlorosene
32786,padimate-O
32809,palm oil
32863,pantethine
32915,teriparatide
32937,paroxetine
32950,patent blue violet
32968,clopidogrel
32987,pectin
33055,pentaerythritol
33093,peppermint preparation
33094,peppermint oil
33199,permethrin
33219,Peruvian balsam
33272,phendimetrazine
33290,phenol
33408,phenyltoloxamine
33562,foscarnet
33738,pioglitazone
33747,estropipate
33753,piperonal
33767,pirbuterol
33783,piroctone olamine
33835,plasma protein fraction
33910,isradipine
34132,pegaspargase
34296,potassium bicarbonate
34300,potassium carbonate
34311,potassium hydroxide
34312,potassium iodate
34316,potassium nitrate
34322,potassium phosphate
34323,potassium sulfate
34345,pralidoxime
34347,pramoxine
34369,prednicarbate
34658,propionic acid
34693,propylene glycol
34706,propylparaben
34822,protein S
34905,proparacaine
35100,pyrithione
35185,quazepam
35208,quinapril
35255,cisapride
35296,ramipril
35302,sirolimus
35382,resorcinol
35465,Rho(D) immune globulin
35616,rifamycin SV
35617,rifapentine
35619,rifaximin
35623,riluzole
35636,risperidone
35780,ropivacaine
35805,royal jelly
35825,ganirelix
35827,ketorolac
35829,ranolazine
36108,salsalate
36117,salmeterol
36118,salmon calcitonin
36122,phenyl salicylate
36314,secnidazole
36344,selenious acid
36345,selenium sulfide
36387,"sennosides, USP"
36434,serratiopeptidase
36435,sertaconazole
36437,sertraline
36453,sevoflurane
36567,simvastatin
36676,sodium bicarbonate
36679,sodium bisulfite
36685,sodium carbonate
36696,sodium metabisulfite
36702,sodium perborate
36709,sodium phosphate
36710,tribasic sodium phosphate
36717,sodium selenate
36721,sodium sulfate
36723,sodium sulfite
37032,stannous chloride
37071,stearyl alcohol
37106,stevioside
37255,succinic acid
37317,sulbutiamine
37319,sulconazole
37418,sumatriptan
37422,sunflower oil
37578,tartaric acid
37617,tazobactam
37744,teferrol
37776,temozolomide
37798,terazosin
37801,terbinafine
37806,terconazole
37925,orlistat
37935,tetrahydrozoline
38022,theanine
38298,tioconazole
38323,titanium dioxide
38400,atomoxetine
38404,topiramate
38409,toremifene
38413,torsemide
38454,trandolapril
38508,treosulfan
38623,triethanolamine
38668,trilostane
38685,trimethobenzamide
38782,triptorelin
38866,trolamine salicylate
38998,tyloxapol
39085,ubiquinol
39385,varicella-zoster immune globulin
39541,vinorelbine
39684,epinastine
39786,venlafaxine
39841,xylometazoline
39918,zeaxanthin
39935,zinc carbonate
39937,zinc chloride
39952,zinc pyrithione
39954,zinc sulfate
39993,zolpidem
39998,zonisamide
40048,carboplatin
40114,guanfacine
40138,iloprost
40254,valproate
40575,zileuton
40790,pantoprazole
41126,fluticasone
41127,fluvastatin
41144,gadodiamide
41208,halobetasol
41289,ibutilide
41397,lactase
41493,meloxicam
41967,salmon oil
42316,tacrolimus
42319,nizatidine
42331,misoprostol
42347,bupropion
42351,lithium carbonate
42355,fluvoxamine
42372,mupirocin
42375,leuprolide
42463,pravastatin
42543,aspartate
42588,chenodeoxycholate
42612,cromolyn
42627,deoxycholate
42736,dexrazoxane
42769,licorice
42781,vitamin K2
42954,vitamin B6
42955,levocarnitine
43611,latanoprost
44151,clofarabine
44157,cladribine
44281,cevimeline
45045,avobenzone
46041,alendronate
46241,aluminum chloride
46243,aluminum stearate
46303,amisulpride
46307,amlexanox
46967,beractant
47070,beta sitosterol
47181,bismuth subcitrate
47461,butenafine
47579,cabergoline
47610,calcium alginate
47613,calcium citrate
47622,calcium lactate
